customer_id_old,source_id_old,customer_id_new,source_id_new
cus_KHWtj0wM1JgVtH,src_1KoENlKhuokAmGLhf5xtdtzp,cus_KHWtj0wM1JgVtH,src_1OrfJ3CDacOypsYbpNx278Gj
cus_KHWtj0wM1JgVtH,src_1KgymfKhuokAmGLhd9K9Dp8n,cus_KHWtj0wM1JgVtH,src_1OrfJ2CDacOypsYbFikRzee2
cus_KHXCwOij8oas2k,src_1Jcy81KhuokAmGLhP6Hq7SKn,cus_KHXCwOij8oas2k,src_1OrfJ2CDacOypsYb98JLnvu3
cus_KHXwVc7qoUT333,,cus_KHXwVc7qoUT333,
cus_KHdVo9O0YCBR2V,pm_1OG3OPKhuokAmGLh9EE7COoa,cus_KHdVo9O0YCBR2V,pm_1OrfJ1CDacOypsYbkNPza2JT
cus_KHdVo9O0YCBR2V,src_1Jd4EcKhuokAmGLhN1lpLT2q,cus_KHdVo9O0YCBR2V,src_1OrfJ1CDacOypsYbLFaGpaBu
cus_KHsq3hr3qsGK3B,,cus_KHsq3hr3qsGK3B,
cus_KICRHJ2qx6zofn,pm_1NR54dKhuokAmGLhHhlPOdOe,cus_KICRHJ2qx6zofn,pm_1OrfJ0CDacOypsYbxvA2z0Zy
cus_KICRHJ2qx6zofn,pm_1NV5ijKhuokAmGLhda5Mgr1c,cus_KICRHJ2qx6zofn,pm_1OrfJ0CDacOypsYbQAxUPP59
cus_KICRHJ2qx6zofn,pm_1O2QuGKhuokAmGLhSc0JeTo0,cus_KICRHJ2qx6zofn,pm_1OrfJ0CDacOypsYbE9DzZxO0
cus_KICRHJ2qx6zofn,pm_1OHfLxKhuokAmGLhvPGBMIKj,cus_KICRHJ2qx6zofn,pm_1OrfJ0CDacOypsYbKhb0SXyr
cus_KICRHJ2qx6zofn,src_1KiWX4KhuokAmGLhcZpQl0uP,cus_KICRHJ2qx6zofn,src_1OrfIzCDacOypsYbJPFHxdsM
cus_KIhGpzKpDSfukd,src_1LQJVKKhuokAmGLhOWpfn1Aj,cus_KIhGpzKpDSfukd,src_1OrfIzCDacOypsYbeBfARO55
cus_KIiWBoWi0LWDBH,src_1Je75EKhuokAmGLh2BF25Cdz,cus_KIiWBoWi0LWDBH,src_1OrfIyCDacOypsYb5B77sFo6
cus_KIieFuenPKWZCC,src_1Mio08KhuokAmGLhyytSKyC8,cus_KIieFuenPKWZCC,src_1OrfIyCDacOypsYb2cUExZcc
cus_KIieFuenPKWZCC,src_1Je7DFKhuokAmGLhBoBnCiDt,cus_KIieFuenPKWZCC,src_1OrfIyCDacOypsYb0m9P8szl
cus_KJ6KNOmwAGziNW,src_1JeU7MKhuokAmGLh6If2wNaP,cus_KJ6KNOmwAGziNW,src_1OrfIxCDacOypsYb71Hhq1Ay
cus_KJ8C8wjPNRJm3b,src_1Kd2LgKhuokAmGLhoYBp4Yts,cus_KJ8C8wjPNRJm3b,src_1OrfIwCDacOypsYb5e38mUIJ
cus_KJ8C8wjPNRJm3b,src_1JeVwKKhuokAmGLhAkutdWB6,cus_KJ8C8wjPNRJm3b,src_1OrfIwCDacOypsYbrva0OkC4
cus_KJII1WwETK8hZz,src_1JefjEKhuokAmGLh4ZCPjrTd,cus_KJII1WwETK8hZz,src_1OrfIwCDacOypsYbqy0lc7vX
cus_KJII1WwETK8hZz,src_1L9sR0KhuokAmGLhEZWSFXvv,cus_KJII1WwETK8hZz,src_1OrfIwCDacOypsYbIRuLBZPq
cus_KJII1WwETK8hZz,src_1Lth3tKhuokAmGLhj12ZyvDI,cus_KJII1WwETK8hZz,src_1OrfIvCDacOypsYbtjjht0Ze
cus_KJII1WwETK8hZz,src_1JefhVKhuokAmGLhDpBChtnY,cus_KJII1WwETK8hZz,src_1OrfIvCDacOypsYbkTOmThPf
cus_KJIqcbjPj5jDMy,pm_1Nn5NeKhuokAmGLhPNY4tNKI,cus_KJIqcbjPj5jDMy,pm_1OrfIvCDacOypsYb399ypHYy
cus_KJIqcbjPj5jDMy,src_1LUXp2KhuokAmGLh9ENUHWuJ,cus_KJIqcbjPj5jDMy,src_1OrfIvCDacOypsYbloo3gPGJ
cus_KJIqcbjPj5jDMy,src_1LuNvMKhuokAmGLh5lloioqE,cus_KJIqcbjPj5jDMy,src_1OrfIuCDacOypsYbDLqYRr3n
cus_KJIqcbjPj5jDMy,src_1JegEFKhuokAmGLhghRwFrxf,cus_KJIqcbjPj5jDMy,src_1OrfIuCDacOypsYbuxv9LHJG
cus_KJOsUftx5EdoXw,src_1MWRQCKhuokAmGLhMKpTbM6V,cus_KJOsUftx5EdoXw,src_1OrfIuCDacOypsYbJbJDkXgp
cus_KJPK1yM5UviLwT,src_1KK2UKKhuokAmGLhHd5zSBEx,cus_KJPK1yM5UviLwT,src_1OrfItCDacOypsYbkRciRQJB
cus_KJPpPUr3PCZDjy,src_1KLEbmKhuokAmGLhODxrO6xt,cus_KJPpPUr3PCZDjy,src_1OrfIsCDacOypsYbvG6tEk9u
cus_KJRB69RlJP8Etu,src_1JeoJQKhuokAmGLhKx7fCxtx,cus_KJRB69RlJP8Etu,src_1OrfIsCDacOypsYbB0TeCqR4
cus_KJSSJgvh5D48X7,src_1JepXoKhuokAmGLhpNOk5xxW,cus_KJSSJgvh5D48X7,src_1OrfIrCDacOypsYbl3DLt7ek
cus_KJSas2S3vvIQW9,,cus_KJSas2S3vvIQW9,
cus_KJWp5l8ROfu6st,,cus_KJWp5l8ROfu6st,
cus_KJmD1PSIyPHnRc,src_1Jf8fMKhuokAmGLhIqOSrtOF,cus_KJmD1PSIyPHnRc,src_1OrfIkCDacOypsYbxmyat0MY
cus_KJmIQQ8qluGLNH,pm_1NdIZ1KhuokAmGLhUxcLbhos,cus_KJmIQQ8qluGLNH,pm_1OrfIkCDacOypsYbWo5d4oqM
cus_KJmIQQ8qluGLNH,src_1LCu6LKhuokAmGLhw8alo2es,cus_KJmIQQ8qluGLNH,src_1OrfIkCDacOypsYbzi2p4TrU
cus_KJmIQQ8qluGLNH,src_1Jr6wFKhuokAmGLhfgsXYdOI,cus_KJmIQQ8qluGLNH,src_1OrfIjCDacOypsYbF8VuE6OV
cus_KJmqvVLhNRC0Oi,src_1Lpeo6KhuokAmGLhxT04Nyqx,cus_KJmqvVLhNRC0Oi,src_1OrfIjCDacOypsYboKH3cm6D
cus_KJmqvVLhNRC0Oi,src_1Jf9GwKhuokAmGLhm60QOK1b,cus_KJmqvVLhNRC0Oi,src_1OrfIjCDacOypsYbBVeCRQgr
cus_KJozVpm68dxJ1Y,src_1KRlz7KhuokAmGLhjdmYKdqk,cus_KJozVpm68dxJ1Y,src_1OrfIiCDacOypsYbWFAqG3qn
cus_KJq6vJtiXdtN2i,,cus_KJq6vJtiXdtN2i,
cus_KJquXpsX39RV28,,cus_KJquXpsX39RV28,
cus_KJsmyDS2Iy8NOP,src_1Mw6uaKhuokAmGLhAZpMZ5cW,cus_KJsmyDS2Iy8NOP,src_1OrfIhCDacOypsYbyyZyll4l
cus_KK2zXCL3zm7lTn,src_1K2eMgKhuokAmGLhuqUFNBR1,cus_KK2zXCL3zm7lTn,src_1OrfIgCDacOypsYbM9ULRRkV
cus_KK9Ld3O24E6HlG,src_1JfV35KhuokAmGLhATTBFYKJ,cus_KK9Ld3O24E6HlG,src_1OrfIgCDacOypsYbFXzz3DBO
cus_KKCg3IJzHypbcJ,,cus_KKCg3IJzHypbcJ,
cus_KKRcIorPQU2Wkd,,cus_KKRcIorPQU2Wkd,
cus_KKXQ8E42TPdWGs,src_1JfsLfKhuokAmGLhVC1MYSuT,cus_KKXQ8E42TPdWGs,src_1OrfIfCDacOypsYbmMabKdNT
